id ,position.x,position.y,position.z,orientation.x,orientation.y,orientation.z,orientation.w,
1,-26.33730698,-25.33811951,0,0,0,-0.006803292,0.999976857,zebra zone at the exit of the civil building
2,-117.8038788,-24.41397095,0,0,0,0.007419022,0.999972479,stopline at the exit of parking area
3,-206.6096039,60.94261932,0,0,0,-0.707945896,0.70626667,stopline in front of the zebra zone at the cross road
4,-208.3419495,63.05927658,0,0,0,-0.005590542,0.999984373,zebra zone at the cross road
5,-350.9569702,82.1213913,0,0,0,0.99940953,0.034359737,stop line in front of the zebra zone after the station
6,-348.697998,83.33468628,0,0,0,-0.721382691,0.692536651,zebra zone after the station
7,-347.367157,96.15724945,0,0,0,0.672596845,0.740009111,stop line in front of the zebra zone at the exit of the park
8,-348.0800476,91.71969604,0,0,0,0.677219229,0.735781297,zebra zone at the exit of the park
9,-227.856781,66.35508728,0,0,0,0.999161422,0.040944505,stop line in front of the zebra zone at the intersection
10,-222.0731506,66.09771729,0,0,0,0.999950822,0.009917342,zebra zone at the intersection
11,-123.5598602,-28.31285477,0,0,0,0.999745538,0.022557909,stop line at the exit of the parking area
